"id","mntlhlth","degree"
1126,0,"College degree"
1129,5,"College degree"
1134,0,"College degree"
1135,0,"Grad/Prof degree"
1137,0,"Less than high school"
1138,2,"High school"
1142,0,"Some college"
1143,0,"High school"
1145,6,"Grad/Prof degree"
1148,0,"High school"
1150,15,"College degree"
1154,0,"High school"
1155,1,"High school"
1156,30,"College degree"
1158,0,"Some college"
1160,0,"College degree"
1164,0,"Grad/Prof degree"
1165,0,"College degree"
1170,0,"College degree"
1171,0,"College degree"
1172,4,"High school"
1174,4,"College degree"
1175,0,"College degree"
1177,0,"High school"
1181,30,"High school"
1182,3,"High school"
1183,2,"High school"
1189,0,"High school"
1190,1,"College degree"
1191,0,"Some college"
1193,1,"High school"
1197,3,"College degree"
1200,30,"Less than high school"
1202,0,"Grad/Prof degree"
1204,0,"College degree"
1207,4,"High school"
1212,0,"High school"
1213,0,"High school"
1214,1,"College degree"
1215,7,"High school"
1217,0,"High school"
1218,15,"High school"
1219,0,"High school"
1221,1,"College degree"
1223,2,"Less than high school"
1225,30,"High school"
1226,0,"Grad/Prof degree"
1228,5,"High school"
1229,0,"Less than high school"
1230,0,"Some college"
1231,20,"High school"
1232,0,"High school"
1233,0,"Some college"
1234,1,"High school"
1236,30,"College degree"
1238,0,"High school"
1239,0,"High school"
1241,0,"Grad/Prof degree"
1243,0,"College degree"
1245,3,"High school"
1249,0,"Less than high school"
1251,0,"High school"
1254,2,"High school"
1255,0,"High school"
1256,0,"High school"
1258,0,"High school"
1260,0,"College degree"
1261,0,"College degree"
1263,2,"College degree"
1265,10,"College degree"
1266,5,"College degree"
1267,3,"Some college"
1269,0,"Some college"
1272,0,"High school"
1273,0,"High school"
1274,2,"High school"
1277,0,"Less than high school"
1279,10,"College degree"
1280,0,"High school"
1281,0,"College degree"
1282,15,"Some college"
1283,0,"College degree"
1284,15,"High school"
1285,0,"High school"
1287,2,"Grad/Prof degree"
1289,0,"Some college"
1290,0,"High school"
1292,0,"High school"
1293,0,"High school"
1294,0,"High school"
1295,0,"Less than high school"
1301,5,"College degree"
1304,0,"College degree"
1305,0,"High school"
1309,3,"College degree"
1311,0,"High school"
1312,5,"Less than high school"
1314,10,"High school"
1315,0,"Some college"
1316,0,"College degree"
1317,0,"High school"
1320,30,"Some college"
1325,3,"Some college"
1328,3,"High school"
1330,0,"High school"
1332,5,"College degree"
1334,20,"Grad/Prof degree"
1336,0,"Less than high school"
1338,0,"College degree"
1339,0,"High school"
1343,0,"Some college"
1345,0,"High school"
1347,5,"Some college"
1348,0,"Less than high school"
1349,0,"Grad/Prof degree"
1352,2,"High school"
1354,5,"High school"
1355,30,"High school"
1360,8,"High school"
1369,0,"High school"
1370,0,"High school"
1372,2,"High school"
1373,1,"Grad/Prof degree"
1374,2,"High school"
1375,4,"College degree"
1376,14,"High school"
1377,0,"College degree"
1378,0,"High school"
1380,0,"Grad/Prof degree"
1382,0,"High school"
1383,0,"Some college"
1384,0,"College degree"
1385,0,"College degree"
1387,6,"Less than high school"
1389,10,"Grad/Prof degree"
1391,0,"Some college"
1392,3,"Grad/Prof degree"
1393,0,"Less than high school"
1395,0,"High school"
1397,0,"High school"
1400,0,"College degree"
1403,3,"High school"
1404,14,"College degree"
1410,10,"High school"
1413,0,"High school"
1414,0,"High school"
1415,0,"High school"
1416,30,"High school"
1417,0,"High school"
1418,0,"Less than high school"
1419,30,"Less than high school"
1420,0,"High school"
1422,1,"High school"
1424,4,"Grad/Prof degree"
1425,0,"College degree"
1429,3,"Some college"
1432,2,"High school"
1433,0,"College degree"
1434,0,"Grad/Prof degree"
1435,0,"Some college"
1438,0,"College degree"
1439,0,"High school"
1443,15,"College degree"
1446,1,"Grad/Prof degree"
1447,0,"College degree"
1448,10,"High school"
1451,5,"High school"
1453,0,"High school"
1454,15,"Grad/Prof degree"
1457,0,"High school"
1458,3,"High school"
1460,3,"Grad/Prof degree"
1462,0,"High school"
1464,0,"High school"
1465,0,"High school"
1466,0,"High school"
1468,2,"Some college"
1469,0,"High school"
1470,4,"High school"
1471,0,"College degree"
1472,1,"Less than high school"
1474,0,"Less than high school"
1475,4,"Less than high school"
1476,10,"Some college"
1477,30,"High school"
1478,30,"Some college"
1479,4,"College degree"
1485,0,"College degree"
1487,0,"High school"
1490,4,"Grad/Prof degree"
1491,0,"College degree"
1496,5,"Some college"
1499,0,"Grad/Prof degree"
1500,0,"High school"
1501,0,"High school"
1504,0,"College degree"
1505,0,"Less than high school"
1506,0,"Some college"
1507,30,"High school"
1509,0,"Some college"
1511,5,"Some college"
1514,0,"Some college"
1515,30,"Less than high school"
1517,0,"Some college"
1519,0,"Some college"
1521,6,"High school"
1523,10,"High school"
1524,0,"Less than high school"
1526,30,"High school"
1528,0,"High school"
1529,0,"Less than high school"
1533,5,"Some college"
1534,0,"Less than high school"
1535,0,"Less than high school"
1538,2,"Less than high school"
1539,2,"High school"
1541,0,"Grad/Prof degree"
1542,0,"High school"
1544,20,"High school"
1546,0,"High school"
1548,10,"Less than high school"
1549,0,"High school"
1554,0,"High school"
1555,0,"College degree"
1556,0,"Grad/Prof degree"
1558,0,"College degree"
1560,7,"Some college"
1561,0,"College degree"
1564,5,"Grad/Prof degree"
1565,0,"High school"
1566,0,"Less than high school"
1567,0,"College degree"
1568,0,"High school"
1569,15,"High school"
1570,0,"College degree"
1574,0,"High school"
1577,0,"Less than high school"
1578,2,"High school"
1579,4,"High school"
1581,14,"High school"
1583,0,"High school"
1584,0,"High school"
1585,0,"Grad/Prof degree"
1588,0,"High school"
1591,0,"College degree"
1599,30,"High school"
1600,6,"High school"
1602,7,"Some college"
1603,1,"College degree"
1604,10,"College degree"
1606,2,"College degree"
1607,1,"High school"
1609,15,"Some college"
1610,0,"High school"
1611,0,"High school"
1616,0,"High school"
1618,0,"Some college"
1620,3,"College degree"
1621,14,"College degree"
1622,5,"Grad/Prof degree"
1623,0,"College degree"
1633,0,"High school"
1634,0,"High school"
1637,0,"Grad/Prof degree"
1638,0,"College degree"
1639,1,"High school"
1641,0,"Less than high school"
1642,0,"College degree"
1644,0,"Some college"
1649,5,"High school"
1651,10,"High school"
1652,0,"High school"
1654,30,"Some college"
1655,0,"College degree"
1657,0,"High school"
1658,0,"Grad/Prof degree"
1659,1,"High school"
1661,0,"High school"
1662,0,"High school"
1664,10,"College degree"
1665,7,"Some college"
1667,3,"High school"
1669,0,"College degree"
1670,1,"Some college"
1672,0,"College degree"
1673,0,"College degree"
1675,0,"Grad/Prof degree"
1677,0,"High school"
1678,10,"College degree"
1679,0,"College degree"
1680,0,"High school"
1681,0,"College degree"
1682,6,"College degree"
1685,0,"High school"
1686,0,"College degree"
1688,0,"High school"
1689,2,"High school"
1691,10,"Some college"
1692,0,"High school"
1694,25,"Grad/Prof degree"
1699,0,"High school"
1702,20,"College degree"
1703,0,"High school"
1706,0,"Grad/Prof degree"
1707,0,"College degree"
1708,5,"High school"
1711,30,"High school"
1714,0,"Grad/Prof degree"
1720,0,"High school"
1722,0,"High school"
1723,30,"Some college"
1724,10,"Some college"
1725,0,"High school"
1726,0,"College degree"
1729,0,"High school"
1730,2,"College degree"
1731,0,"College degree"
1732,1,"Grad/Prof degree"
1733,0,"High school"
1737,12,"High school"
1738,0,"College degree"
1742,0,"College degree"
1744,5,"Grad/Prof degree"
1745,10,"College degree"
1747,3,"Less than high school"
1748,30,"High school"
1749,2,"High school"
1750,0,"High school"
1751,5,"High school"
1752,0,"Grad/Prof degree"
1754,0,"High school"
1756,0,"College degree"
1758,0,"College degree"
1760,0,"High school"
1761,0,"College degree"
1763,0,"College degree"
1765,0,"Less than high school"
1767,0,"High school"
1768,2,"High school"
1769,0,"High school"
1771,0,"High school"
1775,0,"Less than high school"
1778,0,"High school"
1781,0,"College degree"
1782,30,"High school"
1784,1,"Some college"
1785,2,"College degree"
1786,0,"Some college"
1787,0,"College degree"
1789,0,"College degree"
1790,0,"College degree"
1791,0,"Grad/Prof degree"
1792,0,"High school"
1794,10,"High school"
1796,10,"College degree"
1797,1,"Some college"
1799,0,"College degree"
1801,0,"Some college"
1803,0,"College degree"
1804,0,"College degree"
1805,3,"College degree"
1806,0,"Grad/Prof degree"
1807,0,"College degree"
1808,0,"High school"
1809,0,"College degree"
1810,0,"Grad/Prof degree"
1811,0,"Less than high school"
1814,0,"College degree"
1817,0,"High school"
1818,4,"High school"
1820,0,"High school"
1821,0,"Some college"
1822,0,"College degree"
1824,0,"High school"
1825,15,"High school"
1827,2,"Grad/Prof degree"
1829,2,"College degree"
1832,0,"College degree"
1833,0,"High school"
1837,0,"Some college"
1841,5,"High school"
1842,0,"College degree"
1844,30,"High school"
1846,15,"Some college"
1848,0,"High school"
1851,0,"High school"
1853,0,"High school"
1859,0,"High school"
1860,0,"College degree"
1861,15,"High school"
1863,0,"Grad/Prof degree"
1864,0,"Less than high school"
1868,0,"Less than high school"
1870,2,"High school"
1871,0,"College degree"
1874,0,"High school"
1879,0,"High school"
1885,0,"High school"
1886,4,"High school"
1889,4,"High school"
1890,0,"High school"
1891,0,"High school"
1892,0,"Less than high school"
1895,0,"High school"
1896,5,"Less than high school"
1897,0,"High school"
1898,0,"High school"
1899,0,"Less than high school"
1900,0,"High school"
1901,0,"Less than high school"
1904,0,"Less than high school"
1905,5,"Less than high school"
1907,0,"High school"
1908,10,"High school"
1909,0,"College degree"
1910,2,"Some college"
1911,0,"College degree"
1912,1,"Grad/Prof degree"
1913,0,"High school"
1914,10,"High school"
1919,0,"High school"
1920,2,"High school"
1921,7,"High school"
1923,0,"College degree"
1924,30,"Some college"
1925,1,"Less than high school"
1926,5,"College degree"
1927,0,"High school"
1928,5,"High school"
1929,2,"High school"
1930,0,"College degree"
1931,0,"High school"
1933,1,"Less than high school"
1935,0,"High school"
1936,0,"College degree"
1937,10,"Grad/Prof degree"
1938,20,"College degree"
1941,0,"Grad/Prof degree"
1945,10,"Grad/Prof degree"
1950,10,"College degree"
1952,1,"College degree"
1955,0,"High school"
1956,2,"High school"
1957,4,"College degree"
1958,0,"Some college"
1961,7,"High school"
1964,4,"Less than high school"
1965,0,"High school"
1966,0,"High school"
1969,25,"High school"
1971,0,"High school"
1972,3,"High school"
1974,0,"High school"
1975,3,"Less than high school"
1978,1,"College degree"
1979,2,"Less than high school"
1980,0,"Less than high school"
1983,0,"Grad/Prof degree"
1984,0,"College degree"
1986,2,"High school"
1991,0,"Less than high school"
2002,0,"High school"
2003,0,"College degree"
2004,3,"College degree"
2007,22,"College degree"
2008,3,"Grad/Prof degree"
2013,7,"College degree"
2016,1,"High school"
2019,0,"College degree"
2020,0,"High school"
2024,4,"Some college"
2025,0,"Grad/Prof degree"
2027,1,"Grad/Prof degree"
2028,0,"Grad/Prof degree"
2029,0,"Some college"
2031,10,"Some college"
2032,2,"College degree"
2034,4,"High school"
2035,20,"High school"
2036,15,"High school"
2037,3,"High school"
2038,20,"Less than high school"
2040,1,"High school"
2041,0,"Grad/Prof degree"
2042,30,"Grad/Prof degree"
2044,3,"Some college"
2049,0,"High school"
2050,0,"High school"
2051,1,"High school"
2056,2,"High school"
2062,0,"Some college"
2063,5,"High school"
2064,0,"College degree"
2066,0,"High school"
2068,0,"High school"
2069,15,"Some college"
2075,0,"High school"
2077,3,"Grad/Prof degree"
2078,0,"High school"
2080,1,"High school"
2081,16,"High school"
2082,5,"Some college"
2083,2,"High school"
2085,0,"High school"
2087,0,"High school"
2088,4,"Some college"
2092,5,"College degree"
2093,10,"College degree"
2099,0,"High school"
2100,0,"Some college"
2103,3,"High school"
2105,0,"High school"
2107,0,"College degree"
2109,0,"College degree"
2111,0,"Some college"
2112,0,"High school"
2121,30,"High school"
2122,2,"High school"
2124,0,"Some college"
2126,0,"High school"
2128,3,"High school"
2129,0,"College degree"
2130,0,"Less than high school"
2133,15,"Grad/Prof degree"
2134,0,"Grad/Prof degree"
2135,1,"High school"
2137,0,"High school"
2138,0,"Grad/Prof degree"
2139,20,"Less than high school"
2140,0,"High school"
2145,0,"High school"
2151,20,"Less than high school"
2153,0,"High school"
2154,1,"High school"
2155,10,"High school"
2156,0,"College degree"
2157,2,"High school"
2158,0,"High school"
2160,5,"High school"
2161,0,"High school"
2162,30,"Grad/Prof degree"
2163,0,"High school"
2165,2,"High school"
2166,0,"Some college"
2167,1,"High school"
2168,0,"Less than high school"
2169,0,"High school"
2172,5,"High school"
2173,15,"High school"
2174,0,"High school"
2175,0,"High school"
2176,0,"High school"
2181,7,"High school"
2183,0,"High school"
2185,0,"High school"
2187,2,"High school"
2188,0,"High school"
2189,20,"High school"
2190,2,"College degree"
2191,0,"High school"
2192,0,"Grad/Prof degree"
2193,7,"College degree"
2197,2,"High school"
2199,10,"Grad/Prof degree"
2201,3,"High school"
2202,3,"High school"
2204,15,"High school"
2205,0,"Some college"
2206,3,"High school"
2207,0,"Grad/Prof degree"
2208,3,"High school"
2209,0,"Some college"
2211,5,"Grad/Prof degree"
2217,10,"College degree"
2218,0,"High school"
2223,0,"Less than high school"
2224,0,"High school"
2225,3,"Grad/Prof degree"
2226,2,"College degree"
2227,5,"High school"
2228,1,"Less than high school"
2229,0,"High school"
2230,5,"High school"
2233,2,"College degree"
2234,15,"Less than high school"
2235,0,"Less than high school"
2236,0,"High school"
2238,15,"Less than high school"
2240,0,"High school"
2242,5,"Less than high school"
2243,0,"High school"
2245,0,"High school"
2248,0,"High school"
2249,10,"High school"
2250,0,"Some college"
2252,5,"Grad/Prof degree"
2254,0,"High school"
2256,5,"High school"
2257,15,"High school"
2260,0,"Less than high school"
2263,0,"Less than high school"
2267,0,"High school"
2270,0,"High school"
2272,0,"Less than high school"
2273,0,"Some college"
2275,15,"Some college"
2276,2,"Some college"
2279,0,"Grad/Prof degree"
2280,0,"High school"
2284,0,"High school"
2286,8,"High school"
2287,0,"Less than high school"
2292,1,"High school"
2293,0,"High school"
2297,7,"High school"
2302,14,"High school"
2306,2,"High school"
2308,3,"High school"
2315,0,"High school"
2316,0,"Less than high school"
2317,0,"College degree"
2319,30,"High school"
2320,0,"High school"
2322,0,"College degree"
2323,0,"Some college"
2326,0,"College degree"
2327,0,"High school"
2331,0,"Some college"
2336,3,"Grad/Prof degree"
2337,20,"College degree"
2340,2,"High school"
2344,0,"High school"
2345,0,"High school"
