"countyfips","gps_workplaces"
29123,NA
29125,NA
29127,-0.173
29131,-0.153
29133,-0.0386
29135,NA
29137,NA
29139,NA
29141,-0.0971
29143,-0.0943
29145,-0.0557
29147,-0.0457
29149,NA
29151,NA
29153,NA
29155,-0.13
29157,-0.217
29159,-0.0143
29161,-0.167
29163,-0.07
29165,-0.169
29167,0.0286
29169,-0.17
29173,NA
29175,-0.13
29177,-0.151
29181,NA
29183,-0.29
29185,NA
29186,-0.221
29187,-0.0629
29189,-0.186
29195,0.0614
29201,-0.0614
29203,NA
29207,-0.13
29209,-0.0871
29211,NA
29213,0.0829
29215,-0.0614
29217,-0.0443
29219,-0.16
29221,-0.0514
29223,NA
29225,-0.0486
29229,-0.0843
29510,-0.22
30001,NA
30003,-0.127
30007,NA
30009,NA
30013,-0.196
30017,NA
30021,NA
30023,NA
30027,NA
30029,-0.0971
30031,-0.167
30035,NA
30041,-0.0786
30043,NA
30047,-0.03
30049,-0.211
30053,0.0214
30057,NA
30063,-0.141
30067,0.00429
30077,NA
30081,-0.08
30083,NA
30085,NA
30087,NA
30089,NA
30093,-0.201
30095,NA
30105,NA
30111,-0.151
31001,-0.0786
31013,-0.0471
31019,-0.107
31021,NA
31023,NA
31025,-0.106
31027,NA
31033,-0.05
31035,NA
31037,NA
31039,NA
31041,NA
31043,-0.0557
31045,NA
31047,-0.0529
31049,NA
31051,NA
31053,-0.156
31055,-0.141
31059,NA
31067,-0.0171
31079,-0.143
31081,-0.09
31089,NA
31093,NA
31095,NA
31099,NA
31101,-0.0814
31107,NA
31109,-0.0771
31111,-0.09
31119,-0.123
31121,NA
31127,NA
31131,-0.0586
31137,NA
31139,NA
31141,-0.0943
31143,NA
31145,NA
31147,NA
31151,-0.243
31153,-0.2
31155,-0.129
31157,-0.00143
31159,-0.149
31167,NA
31173,NA
31177,-0.0486
31179,NA
31185,0.09
32001,-0.26
32003,-0.204
32005,-0.19
32007,-0.191
32013,-0.05
32015,NA
32019,-0.0414
32023,-0.151
32031,-0.197
32033,NA
32510,-0.16
33001,-0.104
33003,-0.0571
33005,-0.154
33007,-0.04
33009,-0.186
33011,-0.191
33013,-0.161
33015,-0.223
33017,-0.111
33019,-0.0771
34001,-0.2
34003,-0.286
34005,-0.231
34007,-0.201
34009,0.314
34011,-0.163
34013,-0.271
34015,-0.234
34017,-0.29
34019,-0.17
34021,-0.314
34023,-0.243
34025,-0.26
34027,-0.296
34029,-0.223
34031,-0.167
34033,-0.15
34035,-0.216
34037,-0.107
34039,-0.21
34041,-0.249
35001,-0.231
35005,-0.116
35006,-0.19
35007,-0.153
35009,-0.163
35013,-0.169
35015,-0.239
35017,-0.0857
35019,NA
35023,NA
35025,-0.326
35027,-0.149
35028,-0.369
35029,-0.12
35031,-0.141
35035,-0.211
35037,-0.204
35039,-0.0929
35041,-0.14
35043,-0.199
35045,-0.12
35047,-0.214
35049,-0.211
35051,-0.237
35053,-0.0457
35055,-0.189
35057,-0.194
35061,-0.07
36001,-0.317
36003,-0.253
36005,-0.296
36007,-0.244
36009,-0.134
36011,-0.161
36013,-0.0129
36015,-0.231
36017,-0.187
36019,-0.153
36021,-0.0857
36023,-0.06
36025,-0.189
36027,-0.23
36029,-0.263
36031,-0.194
36033,-0.146
36035,-0.133
36037,-0.166
36039,-0.09
36043,-0.161
36045,-0.0586
36047,-0.344
36049,-0.123
36051,-0.2
36053,-0.151
36055,-0.217
36057,-0.09
36059,-0.271
36061,-0.404
36063,-0.0829
36065,-0.159
36067,-0.197
36069,-0.189
36071,-0.277
36073,-0.101
36075,-0.0686
36077,-0.211
36079,-0.279
36081,-0.246
36083,-0.166
36085,-0.25
36087,-0.374
36089,-0.0929
36091,-0.216
36093,-0.264
36095,-0.18
36097,-0.0814
36099,-0.1
36101,-0.187
36103,-0.18
36105,-0.0357
36107,-0.157
36109,-0.244
36111,-0.216
36113,-0.104
36115,-0.196
36117,-0.109
36119,-0.23
36121,-0.16
36123,-0.2
37001,-0.234
37003,-0.194
37005,NA
37007,-0.143
37009,-0.129
37011,0.154
37013,-0.163
37015,-0.117
37017,-0.121
37019,-0.0771
37021,-0.231
37023,-0.11
37025,-0.184
37027,-0.0829
37029,NA
37031,2.66e-10
37033,-0.136
37035,-0.1
37037,-0.243
37039,-0.0943
37041,NA
37043,NA
37045,-0.0971
37047,-0.01
37049,-0.2
37051,-0.151
37053,0.0157
37055,0.0529
37057,-0.146
37059,-0.174
37061,-0.0886
37063,-0.287
37065,-0.173
37067,-0.206
37069,-0.169
37071,-0.181
37073,NA
37075,NA
37077,-0.16
37079,-0.126
37081,-0.194
37083,-0.223
37085,-0.06
37087,-0.0914
37089,-0.101
37091,-0.0857
37093,-0.18
37097,-0.264
37099,-0.17
37101,-0.0757
37103,NA
37105,-0.194
37107,-0.163
37109,-0.18
37111,-0.104
37113,-0.0143
37115,-0.101
37117,-0.13
37119,-0.29
37121,NA
37123,-0.149
37125,-0.187
37127,-0.136
37129,-0.151
37131,-0.13
37133,-0.21
37135,-0.233
37137,NA
37139,-0.119
37141,-0.151
37143,NA
37145,-0.109
37147,-0.184
37149,-0.164
37151,0.0443
37153,-0.124
37155,-0.106
37157,-0.129
37159,-0.201
37161,-0.14
37163,-0.124
37165,-0.0471
37167,-0.173
37169,-0.179
37171,-0.164
37173,-0.137
37175,-0.104
37179,-0.201
37181,-0.211
37183,-0.301
37185,-0.119
37187,NA
37189,-0.0529
37191,-0.176
37193,-0.153
37195,-0.243
37197,-0.139
37199,-0.22
38003,NA
38015,-0.141
38017,-0.189
38025,NA
38035,-0.126
38053,-0.354
38055,NA
38057,NA
38059,-0.153
38061,NA
38067,NA
38071,NA
38073,NA
38077,0.0271
38079,NA
38089,-0.156
38093,-0.101
38097,NA
38099,NA
38101,-0.05
38105,-0.254
39001,-0.0857
39003,-0.199
39005,-0.11
39007,-0.0586
39009,-0.213
39011,-0.147
39013,-0.0843
39015,-0.226
39017,-0.147
39019,-0.14
39021,-0.184
39023,-0.0986
39025,-0.2
39027,-0.166
39029,-0.0543
39031,-0.146
39033,-0.113
39035,-0.191
39037,-0.116
39039,-0.0786
39041,-0.25
39043,-0.104
39045,-0.236
39047,0.0714
39049,-0.243
39051,-0.194
39053,-0.05
39055,-0.196
39057,-0.146
39059,0.117
39061,-0.216
39063,-0.171
39065,-0.23
39067,NA
39069,-0.161
39071,-0.149
39073,-0.179
39075,-0.0443
39077,-0.196
39079,-0.0743
39081,-0.14
39083,-0.16
39085,-0.174
39087,-0.211
39089,-0.226
39091,-0.204
39093,-0.176
39095,-0.139
39097,-0.206
39099,-0.186
39101,-0.109
39103,-0.0814
39105,-0.11
39107,-0.21
39109,-0.0714
39111,NA
39113,-0.186
39115,NA
39117,-0.171
39119,-0.15
39121,NA
39123,-0.0257
39125,-0.0671
39127,-0.181
39129,-0.114
39131,-0.113
39133,-0.146
39135,-0.107
39137,-0.0471
39139,-0.0271
39141,-0.161
39143,-0.07
39145,-0.101
39147,-0.186
39149,-0.169
39151,-0.101
39153,-0.174
39155,-0.129
39157,-0.104
39159,-0.149
39161,-0.14
39163,NA
39165,-0.241
39167,-0.114
39169,-0.1
39171,-0.0329
39173,-0.223
39175,-0.16
40001,-0.143
40005,-0.303
40009,-0.169
40011,NA
40013,-0.126
40015,-0.206
40017,-0.167
40019,-0.169
40021,-0.114
40023,-0.213
40027,-0.124
40031,-0.201
40033,-0.153
40035,-0.0457
40037,0.00429
40039,-0.157
40041,-0.04
40047,-0.139
40049,-0.26
40051,-0.13
40061,NA
40063,NA
40065,-0.0729
40069,NA
40071,-0.0586
40073,NA
40075,NA
40077,NA
40079,-0.101
40081,-0.0786
40083,-0.163
40085,NA
40087,-0.0871
40089,-0.181
40091,-0.05
40093,NA
40095,-0.109
40097,0.0271
40099,-0.0757
40101,-0.0371
40103,NA
40105,NA
40107,NA
40109,-0.19
40111,-0.0929
40113,-0.177
40115,-0.0914
40117,-0.203
40119,-0.207
40121,-0.116
40123,-0.0814
40125,-0.11
40127,NA
40131,-0.119
40133,-0.106
40135,0.00286
40137,-0.07
40139,-0.283
40141,NA
40143,-0.15
40145,-0.136
40147,-0.113
40149,NA
40151,NA
40153,-0.214
41001,-0.243
41003,-0.309
41005,-0.253
41007,-0.0686
41009,-0.18
41011,-0.106
41013,-0.246
41015,-0.0729
41017,-0.219
41019,-0.129
41023,NA
41025,NA
41027,-0.149
41029,-0.217
41031,-0.0471
41033,-0.106
41035,-0.186
41037,NA
41039,-0.239
41041,-0.119
41043,-0.143
41045,-0.21
41047,-0.233
41049,-0.251
41051,-0.314
41053,-0.236
41055,NA
41057,-0.166
41059,-0.08
41061,-0.123
41065,-0.203
41067,-0.25
41071,-0.209
42001,-0.143
42003,-0.28
42005,-0.186
42007,-0.157
42009,-0.0971
42011,-0.109
42013,-0.209
42015,-0.161
42017,-0.136
42019,-0.24
42021,-0.167
42025,-0.0843
42027,-0.193
42029,-0.239
42031,-0.101
42033,-0.0857
42035,-0.119
42037,-0.11
42039,-0.09
42041,-0.233
42043,-0.261
42045,-0.263
42047,-0.0743
42049,-0.183
42051,-0.147
42055,-0.116
42057,-0.0271
42059,-0.156
42061,-0.176
42063,-0.0343
42065,-0.0814
42067,-0.316
42069,-0.116
42071,-0.156
42073,-0.11
42075,-0.167
42077,-0.177
42079,-0.18
42081,-0.21
42083,-0.07
42085,-0.0329
42087,-0.207
42089,-0.171
42091,-0.234
42093,-0.311
42095,-0.164
42097,-0.11
42099,-0.191
42101,-0.271
42103,0.0186
42105,NA
42107,-0.104
42109,-0.177
42111,-0.11
42113,NA
42115,-0.0571
42117,-0.143
42119,-0.137
42121,-0.119
42123,-0.134
42125,-0.15
42127,0.02
42129,-0.177
42131,-0.0743
42133,-0.131
44001,-0.267
44003,-0.194
44005,-0.127
44007,-0.201
44009,-0.159
45001,-0.157
45003,-0.126
45005,NA
45007,-0.144
45009,NA
45011,-0.107
45013,-0.173
45015,-0.247
45017,-0.12
45019,-0.17
45021,-0.0757
45023,-0.177
45025,-0.0971
45027,-0.0314
45029,-0.154
45031,-0.196
45033,-0.196
45035,-0.176
45037,-0.166
45039,-0.226
45041,-0.0657
45043,-0.1
45045,-0.197
45047,-0.16
45049,-0.167
45051,-0.09
45053,-0.0757
45055,-0.08
45057,-0.286
45059,-0.199
45061,-0.123
45063,-0.0414
45065,NA
45067,-0.177
45069,-0.163
45071,-0.116
45073,-0.119
45075,-0.0529
45077,-0.237
45079,-0.169
45081,-0.166
45083,-0.0643
45085,-0.123
45087,-0.161
45089,-0.179
45091,-0.22
46005,-0.171
46009,NA
46011,-0.146
46013,-0.1
46019,NA
46023,NA
46027,NA
46029,-0.0714
46033,NA
46035,-0.161
46047,NA
46051,NA
46057,NA
46065,NA
46067,NA
46079,NA
46081,-0.159
46083,-0.107
46087,NA
46093,-0.134
46099,-0.0943
46101,NA
46102,NA
46103,-0.0829
46109,NA
46121,NA
46125,NA
46127,NA
46135,-0.0657
47001,-0.214
47003,-0.191
47005,-0.137
47007,NA
47009,-0.213
47011,-0.2
47013,-0.107
47015,-0.163
47017,-0.124
47019,-0.03
47021,-0.181
47023,NA
47025,-0.05
47027,NA
47029,-0.0971
47031,-0.111
47033,NA
47035,-0.109
47037,-0.3
47039,NA
47041,-0.154
47043,-0.153
47045,-0.0614
47047,-0.17
47049,NA
47051,-0.123
47053,-0.0729
47055,-0.287
47057,-0.136
47059,-0.11
47061,NA
47063,-0.1
47065,-0.231
47069,-0.157
47071,-0.197
47073,-0.0929
47075,-0.0857
47077,0.00571
47079,-0.0543
47081,-0.15
47083,NA
47085,-0.0929
47087,NA
47089,-0.0157
47091,NA
47093,-0.201
47097,-0.267
47099,-0.0929
47101,NA
47103,0.0514
47105,-0.127
47107,-0.0757
47109,-0.0729
47111,-0.156
47113,-0.169
47115,-0.197
47117,-0.116
47119,-0.199
47121,-0.123
47123,-0.126
47125,-0.0557
47127,NA
47129,-0.0743
47131,-0.0857
47133,-0.131
47135,NA
47139,-0.139
47141,-0.114
47143,-0.00571
47145,-0.114
47147,-0.0257
47149,-0.21
47151,-0.0286
47153,-0.0771
47155,-0.0714
47157,-0.169
47159,-0.107
47161,NA
47163,-0.186
47165,-0.173
47167,-0.166
47169,NA
47171,-0.0886
47173,-0.0186
47177,-0.0586
47179,-0.1
47181,NA
47183,-0.16
47185,-0.0586
47187,-0.26
47189,-0.121
48001,-0.151
48003,-0.359
48005,-0.149
48007,-0.0871
48009,NA
48013,-0.153
48015,-0.149
48017,NA
48019,-0.276
48021,-0.123
48025,-0.156
48027,-0.129
48029,-0.216
48031,NA
48035,-0.101
48037,-0.129
48039,-0.211
48041,-0.244
48043,NA
48047,NA
48049,-0.197
48051,-0.121
48053,-0.163
48055,-0.23
48057,-0.25
48059,-0.00857
48061,-0.204
48063,NA
48065,-0.177
48067,-0.0614
48069,NA
48071,-0.193
48073,-0.164
48075,NA
48077,NA
48083,NA
48085,-0.269
48089,-0.18
48091,-0.229
48093,NA
48097,-0.233
48099,-0.0886
48107,NA
48109,NA
48111,NA
48113,-0.264
48115,NA
48117,-0.21
48121,-0.267
48123,0.0171
48127,NA
48131,NA
48133,-0.124
48135,-0.264
48139,-0.263
48141,-0.209
48143,-0.209
48145,-0.101
48147,-0.0771
48149,-0.171
48157,-0.209
48159,-0.0571
48161,-0.0386
48163,-0.276
48165,-0.394
48167,-0.186
48171,-0.223
48175,NA
48177,-0.187
48179,-0.186
48181,-0.189
48183,-0.07
48185,-0.0886
48187,-0.179
48189,-0.16
48191,NA
48193,NA
48197,NA
48199,-0.0929
48201,-0.207
48203,-0.104
48209,-0.223
48213,-0.0843
48215,-0.117
48217,-0.15
48219,-0.149
48221,-0.116
48223,-0.0271
48225,-0.1
48227,-0.227
48231,-0.113
48233,-0.0114
48237,NA
48239,-0.129
48241,-0.09
48245,-0.194
48249,-0.116
48251,-0.156
48253,-0.0371
48255,-0.219
48257,-0.149
48259,-0.27
48265,-0.134
48267,NA
48273,-0.244
48277,-0.126
48279,-0.246
48281,-0.176
48283,NA
48285,NA
48287,-0.0729
48289,-0.179
48291,-0.06
48293,-0.151
48297,-0.281
48299,-0.111
48303,-0.159
48305,NA
48307,NA
48309,-0.153
48311,NA
48313,-0.238
48315,NA
48317,NA
48321,-0.169
48323,-0.266
48325,-0.139
48329,-0.223
48331,-0.166
48335,-0.134
48337,-0.0457
48339,-0.154
48341,2.13e-09
48343,NA
48347,-0.161
48349,-0.0943
48351,NA
48353,-0.123
48355,-0.166
48357,NA
48359,NA
48361,-0.0843
48363,-0.147
48365,-0.226
48367,-0.0614
48369,NA
48371,-0.304
48373,-0.0729
48375,-0.0686
48377,NA
48379,NA
48381,-0.0614
48383,NA
48387,NA
48389,-0.243
48391,-0.204
48395,-0.11
48397,-0.236
48399,NA
48401,-0.13
48403,NA
48405,NA
48407,-0.101
48409,-0.0743
48415,-0.294
48419,-0.304
48421,NA
48423,-0.18
48425,NA
48427,-0.179
48429,NA
48437,NA
48439,-0.214
48441,-0.1
48445,-0.199
48449,-0.216
48451,-0.139
48453,-0.299
48455,-0.174
48457,-0.0386
48459,-0.17
48463,-0.0829
48465,-0.17
48467,-0.151
48469,-0.15
48471,-0.187
48473,-0.101
48475,-0.359
48477,-0.161
48479,-0.107
48481,-0.19
48485,-0.0514
48487,-0.06
48489,-0.109
48491,-0.233
48493,-0.227
48495,-0.357
48497,-0.167
48499,-0.0657
48501,NA
48503,-0.166
48505,NA
48507,NA
49001,-0.103
49003,-0.154
49005,-0.164
49007,-0.0686
49011,-0.189
49013,NA
49015,NA
49019,NA
49021,-0.0443
49023,NA
49025,NA
49027,-0.259
49029,NA
49035,-0.233
49037,NA
49039,-0.0471
49041,0.03
49043,-0.39
49045,-0.197
49047,-0.2
49049,-0.229
49051,-0.247
49053,-0.134
49057,-0.213
50001,-0.254
50003,-0.219
50005,-0.241
50007,-0.281
50011,-0.244
50013,NA
50015,-0.116
50017,-0.239
50019,-0.107
50021,-0.236
50023,-0.256
50025,-0.237
50027,-0.153
51001,-0.0229
51003,-0.259
51005,-0.187
51007,NA
51009,-0.0714
51011,-0.159
51013,-0.364
51015,-0.16
51019,-0.104
51021,NA
51023,-0.153
51025,0.115
51027,NA
51029,NA
51031,-0.0414
51033,-0.0414
51035,-0.0357
51036,NA
51037,NA
51041,-0.18
51043,NA
51047,-0.144
51049,NA
51051,NA
51053,-0.189
51057,-0.117
51059,-0.289
51061,-0.216
51063,NA
51065,-0.18
51067,-0.124
51069,-0.111
51071,-0.0514
51073,-0.103
51075,NA
51077,NA
51079,-0.127
51081,-0.121
51083,-0.0471
51085,-0.256
51087,-0.303
51089,-0.0814
51093,-0.17
51095,-0.183
51097,NA
51099,-0.221
51101,-0.167
51103,NA
51105,-0.209
51107,-0.266
51109,-0.13
51111,NA
51113,NA
51115,NA
51117,-0.0443
51119,NA
51121,-0.201
51125,NA
51127,-0.173
51131,NA
51133,NA
51135,NA
51137,-0.137
51139,-0.129
51141,NA
51143,-0.169
51145,-0.2
51147,-0.0871
51149,-0.0857
51153,-0.213
51155,-0.0914
51157,NA
51159,NA
51161,-0.251
51163,-0.169
51165,-0.07
51167,-0.164
51169,-0.266
51171,-0.0986
51173,-0.149
51175,-0.08
51177,-0.206
51179,-0.197
51181,NA
51183,-0.107
51185,-0.134
51187,-0.09
51191,-0.194
51193,-0.124
51195,-0.183
51197,-0.204
51199,-0.207
51510,-0.296
51520,-0.123
51530,NA
51540,-0.367
51550,-0.143
51570,-0.0543
51580,NA
51590,-0.189
51595,NA
51600,-0.286
51610,-0.543
51620,NA
51630,-0.291
51640,-0.184
51650,-0.174
51660,-0.266
51670,-0.237
51680,-0.216
51683,-0.143
51685,-0.226
51690,-0.121
51700,-0.226
51710,-0.196
51730,-0.193
51735,NA
51740,-0.179
51750,NA
51760,-0.336
51770,-0.16
51775,-0.25
51790,-0.154
51800,-0.201
51810,-0.26
51820,-0.0386
51830,-0.179
51840,-0.184
53001,-0.251
53003,-0.141
53005,-0.219
53007,-0.171
53009,-0.144
53011,-0.259
53015,-0.216
53017,-0.0843
53021,-0.2
53025,-0.0686
53027,-0.121
53029,-0.244
53031,-0.0929
53033,-0.359
53035,-0.18
53037,-0.299
53039,-0.126
53041,-0.176
53043,NA
53045,-0.173
53047,-0.124
53049,-0.0829
53051,NA
53053,-0.214
53055,-0.0657
53057,-0.214
53059,-0.233
53061,-0.241
53063,-0.189
53065,-0.0771
53067,-0.227
53071,-0.19
53073,-0.21
53075,-0.154
53077,-0.0514
54001,NA
54003,-0.181
54005,NA
54007,NA
54009,-0.137
54011,-0.147
54019,-0.154
54023,NA
54025,-0.08
54027,-0.136
54029,-0.173
54031,NA
54033,-0.256
54035,-0.177
54037,-0.147
54039,-0.177
54041,NA
54043,NA
54045,-0.139
54047,NA
54049,-0.229
54051,-0.17
54053,-0.137
54055,-0.164
54057,-0.167
54059,NA
54061,-0.193
54063,NA
54065,-0.229
54067,-0.107
54069,-0.149
54073,NA
54077,0
54079,-0.181
54081,-0.12
54083,-0.0686
54085,NA
54087,NA
54089,NA
54091,-0.214
54095,NA
54097,-0.0186
54099,-0.171
54103,NA
54107,-0.0486
54109,NA
55001,0.0114
55003,NA
55005,-0.0743
55007,NA
55009,-0.23
55011,NA
55013,NA
55015,-0.146
55017,-0.123
55019,-0.2
55021,-0.07
55023,NA
55025,-0.21
55027,-0.12
55029,0.144
55031,-0.114
55033,-0.0757
55035,-0.0729
55039,0.0629
55041,NA
55043,-0.16
55045,-0.18
55047,-0.173
55049,-0.103
55053,-0.124
55055,-0.137
55057,-0.0314
55059,-0.121
55061,-0.136
55063,-0.199
55065,NA
55067,-0.0786
55069,-0.1
55071,-0.0757
55073,-0.0629
55075,-0.0229
55077,-0.0971
55079,-0.19
55081,-0.186
55083,-0.131
55085,-0.0543
55087,-0.0743
55089,-0.231
55091,NA
55093,-0.119
55095,-0.141
55097,-0.204
55099,NA
55101,-0.181
55103,-0.189
55105,-0.0814
55107,NA
55109,-0.126
55111,-0.0743
55113,-0.144
55115,-0.143
55117,-0.00429
55119,NA
55121,-0.251
55123,-0.23
55125,-0.124
55127,-0.11
55129,NA
55131,-0.156
55133,-0.2
55135,-0.0529
55137,0.0343
55139,-0.176
55141,-0.126
56001,-0.17
56003,NA
56005,-0.241
56007,-0.16
56009,-0.27
56011,NA
56013,-0.14
56015,NA
56019,NA
56021,-0.103
56023,-0.186
56025,-0.191
56029,-0.104
56031,NA
56033,-0.171
56035,NA
56037,-0.186
56039,-0.0429
56041,-0.203
56043,NA
56045,NA
