year,id,childs,parsol,kidssol,ideal_childs
2014,3,1,,,2
2014,4,2,Much better,About the same,3
2012,6,2,,,2
2014,6,1,,,2
2012,12,3,Much better,Much better,2
2010,13,2,,,2
2010,14,3,,,3
2014,14,2,,,2
2010,15,1,About the same,Somewhat better,2
2014,16,3,About the same,Much worse,3
2012,17,3,Much better,Much better,2
2012,18,5,Somewhat better,About the same,2
2014,19,2,Much better,About the same,2
2010,20,0,Somewhat worse,Much worse,3
2010,22,5,,,3
2014,22,3,About the same,About the same,2
2012,23,2,Somewhat worse,About the same,2
2012,24,2,Much better,Much worse,2
2010,25,2,Somewhat better,Much better,3
2014,27,2,,,2
2010,30,0,Somewhat worse,,3
2014,33,0,,,2
2010,35,2,,,2
2012,35,0,Somewhat better,,2
2010,38,2,,,2
2012,38,0,Somewhat better,Somewhat worse,3
2012,43,0,About the same,,2
2014,43,0,,,0
2010,49,0,Much better,,2
2010,50,2,Somewhat better,Much better,2
2014,51,3,About the same,About the same,2
2012,52,2,Much better,Somewhat better,3
2012,53,2,,,0
2010,53,2,Much better,Somewhat better,2
2014,55,1,,,2
2012,56,3,,,3
2014,59,0,Somewhat better,,2
2010,62,2,Somewhat better,Much better,2
2010,67,1,About the same,Somewhat better,3
2014,68,3,Much better,Somewhat better,3
2012,68,1,,,3
2010,69,2,Somewhat worse,Somewhat better,2
2012,69,0,Somewhat worse,,2
2010,70,2,Much better,Much better,3
2014,71,2,Somewhat better,About the same,2
2014,73,2,About the same,Somewhat better,2
2012,74,2,,,3
2012,75,2,Somewhat better,About the same,2
2010,75,0,Somewhat worse,Much worse,2
2010,76,3,,,2
2010,77,4,,,4
2012,78,3,Somewhat better,Much better,2
2010,78,3,,,2
2010,79,3,About the same,Somewhat worse,3
2010,81,0,,,2
2014,81,3,Much better,Much better,2
2012,81,0,Somewhat worse,Somewhat worse,2
2012,83,2,,,2
2014,84,0,,,5
2012,91,3,,,2
2014,91,1,Somewhat better,,3
2010,92,1,,,2
2012,94,2,,,1
2014,95,3,Somewhat worse,Much worse,3
2012,95,3,Somewhat better,About the same,2
2010,95,3,,,4
2010,98,3,,,3
2012,99,0,,,2
2012,101,2,Somewhat better,Much better,2
2010,104,0,,,3
2014,105,0,,,2
2010,105,0,Much better,,2
2014,106,1,About the same,Somewhat worse,2
2012,109,2,About the same,Somewhat better,2
2010,109,2,,,3
2014,110,3,Somewhat worse,Somewhat worse,3
2010,110,3,,,3
2012,110,0,About the same,,4
2010,114,3,Somewhat worse,Much worse,2
2012,115,2,,,4
2010,116,0,,,2
2014,116,0,Somewhat better,About the same,4
2010,117,1,About the same,Somewhat worse,2
2014,117,3,Much better,Much better,2
2012,118,2,Somewhat better,About the same,2
2014,119,0,,,2
2010,119,0,About the same,About the same,3
2014,120,0,,,2
2012,124,0,About the same,,2
2012,127,2,,,2
2014,133,0,,,2
2010,136,1,Somewhat worse,Somewhat better,2
2012,137,4,Somewhat better,Much better,5
2010,138,2,,,2
2012,139,2,Much better,Much better,2
2014,139,1,,,2
2014,140,2,,,2
2012,142,2,About the same,Much better,3
2010,144,4,,,2
2010,145,1,Much better,About the same,2
2010,149,0,,,3
2012,150,2,,,2
2014,150,3,Somewhat better,Somewhat better,3
2010,155,2,,,4
2010,156,0,About the same,,2
2014,157,1,,,2
2012,158,0,About the same,,2
2014,158,0,,,3
2010,163,2,Somewhat better,,2
2014,167,3,,,2
2012,167,0,Much worse,,2
2010,175,4,Somewhat worse,Much better,4
2014,176,0,,,2
2014,181,0,Much better,Much better,2
2012,181,3,,,3
2010,182,0,About the same,,3
2014,184,1,,,3
2014,185,4,,,2
2012,187,2,,,2
2014,189,4,,,2
2010,189,1,About the same,About the same,2
2010,190,3,Much better,Somewhat worse,2
2014,192,2,Much better,Much better,4
2014,195,1,About the same,Somewhat worse,2
2012,203,1,Somewhat better,Much better,3
2010,205,1,About the same,Somewhat better,4
2014,205,2,,,3
2010,209,1,,,2
2014,209,2,Somewhat better,Somewhat better,3
2014,215,4,Much better,Somewhat better,2
2010,220,0,,,2
2014,220,0,,,2
2010,221,2,,,3
2014,223,0,,,2
2012,224,3,,,2
2010,224,3,,,3
2012,226,0,Somewhat better,,2
2014,230,2,Somewhat worse,Much better,3
2012,231,0,,,2
2014,235,2,,,2
2010,238,3,,,3
2010,239,4,Somewhat better,Somewhat better,2
2012,241,1,Somewhat better,Somewhat better,4
2014,242,1,Much better,Somewhat better,2
2010,243,2,Somewhat better,Somewhat better,2
2010,246,0,Somewhat better,,2
2012,247,1,,,3
2014,249,2,,,2
2012,250,3,Somewhat better,Somewhat worse,2
2014,251,2,About the same,About the same,2
2014,256,0,Somewhat better,Much better,2
2014,257,2,About the same,Much worse,2
2014,258,1,Somewhat better,About the same,2
2014,259,1,Somewhat worse,Much worse,2
2010,259,0,About the same,,2
2010,262,2,About the same,About the same,2
2012,264,2,,,3
2014,264,1,,,2
2014,266,0,Much worse,,2
2012,267,3,,,4
2012,270,2,About the same,About the same,2
2014,270,3,About the same,About the same,3
2010,270,1,,,1
2010,271,0,About the same,About the same,2
2012,274,4,Much better,Somewhat better,4
2010,274,0,Much better,Somewhat worse,2
2010,278,0,About the same,Somewhat worse,2
2012,279,1,,,2
2012,282,0,,,3
2012,283,1,Much better,Somewhat better,2
2010,285,2,,,3
2010,286,2,Somewhat better,Somewhat better,2
2014,286,0,About the same,,2
2014,288,1,Much better,Much worse,3
2014,291,3,,,4
2012,291,4,Much better,Much better,3
2010,298,2,,,4
2014,299,2,Somewhat worse,Somewhat worse,4
2010,301,0,Somewhat better,,3
2010,306,2,,,2
2012,307,2,,,2
2010,309,1,,,2
2012,311,5,,,2
2014,313,3,Somewhat better,Much better,3
2010,313,1,,,2
2010,314,0,Much better,,2
2012,314,2,,,2
2010,316,0,,,3
2014,317,2,,,2
2010,320,3,,,4
2012,323,3,,,2
2014,324,0,Much better,Somewhat worse,3
2010,325,1,,,3
2014,325,1,Much better,Somewhat better,2
2012,327,0,,,3
2010,327,3,,,4
2014,327,2,,,3
2010,329,2,Somewhat better,About the same,2
2010,331,3,,,2
2014,333,0,About the same,,2
2014,334,2,Somewhat better,Somewhat better,2
2014,335,0,About the same,Much better,4
2012,340,3,Much worse,Somewhat worse,3
2012,341,2,,,2
2014,343,3,Somewhat better,Somewhat better,2
2012,344,0,About the same,Somewhat better,3
2014,346,4,Somewhat better,Somewhat better,3
2010,347,3,About the same,Somewhat better,2
2012,347,0,,,1
2014,348,2,Somewhat worse,Somewhat better,2
2012,348,0,Somewhat worse,About the same,3
2012,349,1,,,4
2012,351,1,,,2
2010,352,0,,,3
2014,353,3,,,2
2010,353,2,About the same,Somewhat better,2
2010,355,2,Much better,About the same,3
2012,358,0,,,2
2010,361,3,About the same,Somewhat better,2
2014,362,1,,,0
2012,362,2,,,2
2010,363,3,,,3
2010,365,4,,,2
2014,366,3,,,4
2014,367,1,Much better,Somewhat worse,2
2010,368,0,,,2
2010,369,0,,,4
2010,374,4,,,4
2012,374,2,About the same,Much worse,3
2014,379,4,About the same,Somewhat worse,2
2012,380,0,,,2
2014,380,1,,,2
2010,384,2,Somewhat better,Somewhat better,2
2010,385,4,About the same,Somewhat better,2
2012,387,3,,,2
2010,387,3,Somewhat worse,About the same,2
2014,390,5,Somewhat better,Much better,4
2010,392,2,,,2
2010,394,0,Somewhat better,About the same,3
2014,396,2,Much better,About the same,3
2012,396,2,Somewhat worse,Somewhat better,1
2014,397,4,,,4
2012,398,2,,,2
2014,398,2,About the same,About the same,2
2010,400,1,,,3
2012,406,3,,,2
2010,407,1,Much worse,Much better,2
2012,412,1,,,2
2012,414,2,Somewhat worse,Somewhat better,2
2014,416,0,Somewhat better,About the same,2
2012,418,4,About the same,Somewhat worse,2
2014,418,0,,,2
2012,420,3,,,3
2014,422,2,Somewhat worse,Much better,2
2010,423,3,,,2
2014,424,1,,,2
2010,425,3,,,3
2012,425,0,Somewhat worse,,2
2012,428,2,,,2
2012,432,0,Much better,,2
2010,433,2,About the same,About the same,3
2012,435,2,About the same,About the same,2
2010,436,1,,,4
2012,436,2,,,2
2010,441,2,Somewhat better,Somewhat better,2
2010,442,4,Somewhat worse,Somewhat better,4
2014,442,0,,,2
2010,443,1,Somewhat better,Much worse,4
2014,444,0,,,2
2012,447,2,,,2
2012,449,0,,,2
2010,449,1,Much better,Somewhat better,3
2014,450,1,About the same,Somewhat worse,2
2010,451,0,,,3
2012,453,0,,,2
2010,453,0,About the same,,3
2012,458,3,Much better,Much better,3
2012,460,2,Somewhat better,About the same,4
2012,462,2,Somewhat worse,Much better,2
2014,462,2,,,2
2012,464,1,Much better,About the same,2
2012,467,2,,,2
2010,469,0,,,2
2012,469,0,,,3
2012,473,3,Somewhat better,Somewhat better,2
2010,473,0,,,3
2014,475,1,,,3
2014,477,2,,,2
2012,477,0,,,2
2014,479,3,About the same,Somewhat worse,3
2012,481,1,,,2
2014,484,0,,,2
2010,485,2,Somewhat worse,Much better,2
2014,487,3,Much better,Somewhat better,2
2012,490,5,,,3
2010,490,2,,,2
2010,500,3,About the same,About the same,3
2010,503,2,Somewhat better,Much better,2
2010,505,2,Somewhat worse,Somewhat better,2
2012,507,0,,,3
2012,509,0,,,2
2010,510,2,,,2
2010,512,2,,,3
2014,512,2,,,2
2010,513,3,Much better,Somewhat better,3
2010,515,3,Somewhat better,Somewhat better,3
2012,515,2,,,3
2012,517,3,Somewhat better,Much worse,3
2012,521,1,Much better,Much better,3
2010,524,3,Somewhat better,Somewhat better,4
2014,525,0,Somewhat better,Somewhat better,2
2012,526,2,Much better,Somewhat better,2
2010,529,4,Somewhat better,Somewhat worse,4
2010,530,2,About the same,About the same,2
2012,530,0,About the same,Somewhat worse,3
2012,537,2,Much better,Somewhat worse,2
2010,538,2,Somewhat worse,About the same,2
2012,538,2,,,2
2010,540,3,Somewhat better,Somewhat better,2
2010,541,1,Somewhat worse,Much better,3
2012,543,4,,,3
2010,549,5,Much better,About the same,2
2014,552,2,,,2
2012,556,2,Somewhat better,Somewhat worse,3
2014,560,2,,,2
2014,561,4,Much better,Much better,2
2014,564,2,,,2
2012,567,2,Much better,Much better,2
2010,571,0,,,2
2012,572,1,,,2
2014,576,2,,,3
2012,577,3,,,2
2010,578,3,,,2
2010,580,3,,,3
2014,583,1,About the same,About the same,3
2012,584,2,Much better,Somewhat worse,2
2014,584,0,,,2
2014,587,2,,,2
2012,587,2,Somewhat better,About the same,3
2014,591,4,,,3
2014,592,1,,,2
2012,593,2,,,2
2014,594,2,About the same,About the same,2
2012,595,2,,,3
2012,597,0,Much worse,Somewhat worse,2
2012,598,2,,,2
2012,600,1,,,2
2014,602,2,Much better,Somewhat worse,2
2010,605,1,,,2
2012,607,3,Somewhat better,Somewhat worse,2
2010,607,2,About the same,Somewhat better,2
2010,609,1,Somewhat worse,About the same,2
2012,610,2,,,3
2014,611,3,,,3
2010,612,1,,,2
2014,613,3,About the same,About the same,2
2010,615,2,Somewhat better,Somewhat better,2
2012,616,1,,,3
2014,616,2,,,2
2014,617,4,Much better,About the same,3
2010,623,1,About the same,Somewhat better,2
2010,624,2,,,2
2014,625,0,Somewhat better,About the same,2
2012,626,2,,,2
2010,629,3,Somewhat worse,Somewhat worse,1
2012,631,0,,,2
2012,634,1,,,1
2010,636,2,,,2
2012,638,3,About the same,Somewhat worse,2
2010,639,2,Much better,About the same,3
2012,640,2,Much better,Much better,3
2014,642,1,About the same,Much better,2
2014,643,1,,,3
2010,643,4,,,3
2012,643,3,Much better,Somewhat better,2
2010,644,3,About the same,About the same,2
2012,644,2,,,3
2012,645,5,About the same,Somewhat better,2
2014,646,1,,,2
2012,648,0,,,1
2010,650,1,Somewhat worse,Somewhat better,1
2012,650,0,Somewhat better,About the same,2
2010,651,1,,,1
2014,653,0,Somewhat better,Somewhat worse,2
2012,655,1,About the same,Much better,2
2010,657,2,Somewhat better,Somewhat better,3
2010,661,2,,,2
2010,664,2,,,2
2014,667,1,,,3
2012,670,1,Somewhat better,Much worse,2
2012,673,1,,,2
2014,673,3,,,2
2010,677,1,About the same,Somewhat better,2
2014,678,1,Much worse,Much worse,2
2012,679,0,,,2
2010,679,0,About the same,Somewhat worse,2
2010,680,3,Somewhat worse,Much better,3
2012,681,2,Much better,Somewhat better,2
2012,685,2,,,2
2010,686,3,Somewhat worse,Much better,2
2010,688,2,,,2
2014,688,1,Much better,Somewhat better,2
2012,697,3,Much better,Somewhat worse,3
2014,699,1,About the same,About the same,3
2014,700,0,Somewhat better,Somewhat worse,3
2010,701,1,Much better,Much better,2
2010,702,1,,,2
2012,703,0,,,2
2014,705,2,,,2
2012,705,2,,,2
2014,707,3,,,4
2010,717,0,,,2
2010,720,2,,,2
2010,722,3,About the same,Somewhat worse,2
2014,724,2,,,2
2012,724,0,,,2
2014,725,0,,,2
2010,725,2,,,2
2012,727,2,,,2
2010,729,3,Much worse,Much better,3
2012,732,3,Much worse,Somewhat better,2
2014,734,1,Somewhat better,Somewhat worse,3
2010,734,4,Somewhat better,Somewhat better,4
2010,735,3,,,3
2012,738,1,Somewhat better,Somewhat worse,2
2010,740,1,About the same,About the same,1
2014,741,3,,,3
2010,742,2,Much better,Much worse,3
2012,744,0,,,0
2012,747,1,,,2
2010,749,0,,,2
2010,750,1,Much worse,Somewhat worse,3
2014,750,2,,,2
2014,751,3,Somewhat worse,Much better,3
2010,752,0,,,2
2010,753,1,Somewhat better,Somewhat better,2
2014,756,2,Somewhat worse,Much better,2
2012,756,2,Somewhat better,Somewhat better,2
2010,756,2,,,2
2012,757,2,,,3
2010,757,0,,,2
2010,758,0,About the same,,3
2014,758,3,,,3
2010,759,0,,,2
2010,760,0,Somewhat better,,2
2012,761,2,About the same,Much better,2
2012,763,2,About the same,Much better,2
2012,767,0,,,2
2014,768,1,,,2
2012,769,2,Much better,Much better,2
2012,771,4,,,4
2012,773,5,,,2
2012,778,0,,,2
2010,779,2,Somewhat better,Somewhat better,2
2012,788,5,,,3
2014,789,0,,,2
2010,791,0,About the same,,3
2012,792,2,Somewhat better,Somewhat better,2
2012,796,2,,Much better,2
2010,797,0,,,3
2012,797,2,,,2
2012,801,2,Somewhat better,Somewhat better,2
2010,801,0,Much better,Somewhat worse,3
2014,803,3,,,3
2010,805,0,Much better,Much better,4
2014,805,2,Much better,Much better,3
2014,807,2,,,3
2012,807,2,Much better,Much better,3
2014,808,1,,,2
2010,810,1,About the same,Somewhat better,2
2012,811,0,,,3
2010,812,0,Somewhat worse,Somewhat worse,2
2010,813,1,About the same,Somewhat better,2
2010,815,2,,,2
2012,815,1,Somewhat better,Somewhat worse,2
2010,819,0,Much worse,,2
2014,820,0,,,2
2012,821,4,,,2
2012,825,4,,,2
2012,829,3,Much better,Much better,2
2010,830,1,Somewhat better,Somewhat better,4
2012,837,4,,,3
2014,838,2,Somewhat better,Somewhat better,3
2012,842,2,,,2
2010,845,2,,,4
2014,846,0,,,2
2010,847,0,Somewhat better,,2
2014,847,3,,,3
2010,848,0,,,2
2014,849,3,Somewhat better,Somewhat better,3
2012,849,0,,,3
2012,852,1,Somewhat worse,,3
2010,853,5,About the same,About the same,5
2010,855,1,,,2
2012,855,0,Much worse,,3
2012,858,0,,,2
2010,858,3,,,2
2012,861,4,,,2
2012,862,3,Somewhat better,Somewhat better,1
2010,863,4,,,4
2012,865,1,Much better,Somewhat better,3
2014,866,1,Much better,Much worse,2
2014,867,2,Much worse,Somewhat worse,2
2014,868,1,About the same,About the same,3
2010,868,2,Somewhat better,Somewhat better,2
2012,868,0,About the same,,2
2014,871,2,,,2
2010,873,0,Somewhat better,Much worse,2
2014,875,1,Somewhat better,About the same,2
2014,877,2,Somewhat better,Somewhat better,2
2010,878,1,Much better,Much worse,3
2010,883,3,Somewhat worse,About the same,2
2014,883,2,Much better,About the same,2
2010,885,1,About the same,About the same,2
2012,889,2,,,2
2014,894,3,Somewhat worse,Somewhat better,3
2012,896,2,,,2
2010,897,4,,,3
2012,897,2,Somewhat better,Much better,2
2014,897,1,Somewhat better,Somewhat better,4
2014,898,0,Somewhat worse,,2
2014,899,0,,,3
2012,900,0,Much better,About the same,3
2010,901,2,Somewhat better,Somewhat better,2
2014,901,0,About the same,About the same,3
2012,901,1,,,2
2012,906,1,,,2
2014,907,0,,,3
2012,908,0,,,2
2012,911,2,,,3
2010,916,2,Somewhat better,Somewhat better,2
2014,919,1,Somewhat better,Somewhat better,3
2014,920,2,Much better,About the same,2
2014,921,2,,,2
2014,922,2,About the same,About the same,3
2014,924,3,Somewhat better,Somewhat worse,3
2012,928,1,Much better,About the same,2
2014,930,2,About the same,Somewhat better,2
2012,932,1,,,2
2014,933,0,,,2
2014,937,2,Somewhat better,Somewhat better,2
2012,939,3,,,3
2012,940,1,Somewhat worse,,2
2012,944,0,,,2
2014,947,0,Much better,,2
2012,947,3,,,2
2010,952,0,Much better,,2
2014,953,2,,,2
2014,955,3,Much better,Much better,3
2012,955,3,,,3
2014,956,1,Somewhat worse,Much better,2
2014,957,2,About the same,Much better,2
2010,958,0,,,2
2010,962,1,Much better,Much better,2
2014,963,0,About the same,,2
2010,964,2,Much better,About the same,2
2012,968,1,,,2
2010,970,2,,,2
2014,971,1,,,2
2012,973,4,,,3
2014,974,0,About the same,,2
2010,975,1,Somewhat worse,Somewhat worse,1
2010,976,0,,,0
2012,977,1,About the same,Somewhat better,2
2014,978,0,Much better,,3
2014,980,3,,,2
2012,985,3,Somewhat worse,Much worse,2
2014,985,0,,,2
2012,987,0,Somewhat better,About the same,2
2012,988,2,About the same,Somewhat worse,2
2014,991,2,Somewhat worse,Somewhat worse,3
2010,992,0,Somewhat worse,Somewhat better,3
2014,993,2,,,2
2012,993,0,,,3
2014,995,2,About the same,Much better,2
2014,1000,1,Much worse,Somewhat better,2
2010,1000,3,Somewhat worse,Somewhat better,2
2012,1001,1,Somewhat better,Somewhat better,2
2014,1001,1,,,1
2012,1004,0,About the same,,4
2012,1006,2,,,2
2012,1009,0,Somewhat worse,,2
2010,1009,4,,,3
2014,1011,1,,,3
2010,1011,2,,,3
2012,1014,2,About the same,Much better,2
2010,1015,2,About the same,Much better,3
2014,1015,0,Somewhat better,Much worse,3
2014,1016,0,Much better,,2
2014,1017,5,About the same,About the same,2
2010,1019,4,,,2
2014,1020,4,About the same,Somewhat better,3
2010,1022,0,Somewhat worse,Somewhat better,2
2014,1022,1,,,2
2014,1023,3,Somewhat better,Much better,3
2014,1026,1,,,2
2014,1027,3,Much better,Somewhat better,2
2014,1030,0,Somewhat worse,,2
2014,1032,2,,,2
2014,1035,1,Much better,About the same,2
2012,1037,0,Somewhat better,Somewhat worse,1
2012,1038,2,,,2
2014,1039,2,,,3
2012,1042,0,About the same,,2
2014,1044,1,About the same,Much worse,2
2014,1045,2,Much better,Much better,2
2010,1048,0,,,2
2010,1050,4,Somewhat better,Somewhat better,2
2012,1053,4,,,2
2014,1053,4,Somewhat better,Somewhat better,2
2010,1056,4,Somewhat worse,Somewhat better,2
2014,1057,0,,,2
2014,1058,3,Somewhat better,Somewhat better,3
2012,1061,2,,,2
2012,1062,3,,,3
2010,1063,3,,,2
2010,1065,3,,,2
2014,1068,3,,,3
2012,1070,2,Much better,About the same,2
2014,1071,0,,,2
2010,1072,1,About the same,Much better,3
2010,1075,1,About the same,Somewhat better,2
2010,1078,2,Much better,Somewhat better,2
2012,1079,0,,,2
2014,1081,4,Somewhat better,Much better,4
2010,1082,3,Somewhat better,Somewhat better,2
2012,1087,3,,,2
2014,1090,2,,,2
2010,1093,0,Somewhat worse,Much worse,2
2012,1096,1,,,0
2010,1097,0,,,3
2012,1097,3,,,2
2012,1102,1,Somewhat better,Much worse,2
2010,1104,2,,,2
2014,1104,2,,,2
2010,1106,3,,,3
2010,1107,2,About the same,Much better,2
2010,1110,3,,,2
